index,T_source,T_sink,COP,P_comp_kW,Q_evap_kW,Q_cond_kW
8784,60.0,90.0,6.7439905829321765,148.2801596032503,851.7198403967499,-1000.0000000000001
8785,60.0,90.0,6.7439905829321765,148.2801596032503,851.7198403967499,-1000.0000000000001
8786,60.0,90.0,6.7439905829321765,148.2801596032503,851.7198403967499,-1000.0000000000001
8787,60.0,90.0,6.7439905829321765,148.2801596032503,851.7198403967499,-1000.0000000000001
8788,60.0,90.0,6.7439905829321765,148.2801596032503,851.7198403967499,-1000.0000000000001
8789,60.0,90.0,6.7439905829321765,148.2801596032503,851.7198403967499,-1000.0000000000001
8790,60.0,90.0,6.7439905829321765,148.2801596032503,851.7198403967499,-1000.0000000000001
8791,60.0,90.0,6.7439905829321765,148.2801596032503,851.7198403967499,-1000.0000000000001
8792,60.0,90.0,6.7439905829321765,148.2801596032503,851.7198403967499,-1000.0000000000001
8793,60.0,90.0,6.7439905829321765,148.2801596032503,851.7198403967499,-1000.0000000000001
8794,60.0,90.0,6.7439905829321765,148.2801596032503,851.7198403967499,-1000.0000000000001
8795,60.0,90.0,6.7439905829321765,148.2801596032503,851.7198403967499,-1000.0000000000001
8796,60.0,90.0,6.7439905829321765,148.2801596032503,851.7198403967499,-1000.0000000000001
8797,60.0,90.0,6.7439905829321765,148.2801596032503,851.7198403967499,-1000.0000000000001
8798,60.0,90.0,6.7439905829321765,148.2801596032503,851.7198403967499,-1000.0000000000001
8799,60.0,90.0,6.7439905829321765,148.2801596032503,851.7198403967499,-1000.0000000000001
8800,60.0,90.0,6.7439905829321765,148.2801596032503,851.7198403967499,-1000.0000000000001
8801,60.0,90.0,6.7439905829321765,148.2801596032503,851.7198403967499,-1000.0000000000001
8802,60.0,90.0,6.7439905829321765,148.2801596032503,851.7198403967499,-1000.0000000000001
8803,60.0,90.0,6.7439905829321765,148.2801596032503,851.7198403967499,-1000.0000000000001
8804,60.0,90.0,6.7439905829321765,148.2801596032503,851.7198403967499,-1000.0000000000001
8805,60.0,90.0,6.7439905829321765,148.2801596032503,851.7198403967499,-1000.0000000000001
8806,60.0,90.0,6.7439905829321765,148.2801596032503,851.7198403967499,-1000.0000000000001
8807,60.0,90.0,6.7439905829321765,148.2801596032503,851.7198403967499,-1000.0000000000001
8808,60.0,90.0,6.7439905829321765,148.2801596032503,851.7198403967499,-1000.0000000000001
8809,60.0,90.0,6.7439905829321765,148.2801596032503,851.7198403967499,-1000.0000000000001
8810,60.0,90.0,6.7439905829321765,148.2801596032503,851.7198403967499,-1000.0000000000001
8811,60.0,90.0,6.7439905829321765,148.2801596032503,851.7198403967499,-1000.0000000000001
8812,60.0,90.0,6.7439905829321765,148.2801596032503,851.7198403967499,-1000.0000000000001
8813,60.0,90.0,6.7439905829321765,148.2801596032503,851.7198403967499,-1000.0000000000001
8814,60.0,90.0,6.7439905829321765,148.2801596032503,851.7198403967499,-1000.0000000000001
8815,60.0,90.0,6.7439905829321765,148.2801596032503,851.7198403967499,-1000.0000000000001
8816,60.0,90.0,6.7439905829321765,148.2801596032503,851.7198403967499,-1000.0000000000001
8817,60.0,90.0,6.7439905829321765,148.2801596032503,851.7198403967499,-1000.0000000000001
8818,60.0,90.0,6.7439905829321765,148.2801596032503,851.7198403967499,-1000.0000000000001
8819,60.0,90.0,6.7439905829321765,148.2801596032503,851.7198403967499,-1000.0000000000001
8820,60.0,90.0,6.7439905829321765,148.2801596032503,851.7198403967499,-1000.0000000000001
8821,60.0,90.0,6.7439905829321765,148.2801596032503,851.7198403967499,-1000.0000000000001
8822,60.0,90.0,6.7439905829321765,148.2801596032503,851.7198403967499,-1000.0000000000001
8823,60.0,90.0,6.7439905829321765,148.2801596032503,851.7198403967499,-1000.0000000000001
8824,60.0,90.0,6.7439905829321765,148.2801596032503,851.7198403967499,-1000.0000000000001
8825,60.0,90.0,6.7439905829321765,148.2801596032503,851.7198403967499,-1000.0000000000001
